liquor_id,liqour_name,ingredient_id,ingredient_name,similarity
6918,white_wine,5062,praline_paste,0.007353169843554497
6918,white_wine,5067,premium_white_baking_chocolate,-0.008926202543079853
6918,white_wine,5071,prepared_horseradish,0.018651224672794342
6918,white_wine,5084,prepared_yellow_mustard,0.008321729488670826
6918,white_wine,5099,processed_cheese,0.02758701890707016
6918,white_wine,5131,pumpkin_pie_spice,0.010535761713981628
6918,white_wine,5137,pure_maple_syrup,0.013631007634103298
6918,white_wine,5149,quail,0.004799109883606434
6918,white_wine,5173,quinoa,0.020235754549503326
6918,white_wine,5233,raw_cashew,-0.009013282135128975
6918,white_wine,5241,raw_peanut,0.01246664859354496
6918,white_wine,5247,raw_zucchini,0.025768771767616272
6918,white_wine,5275,red_cherry,0.014270125888288021
6918,white_wine,5306,red_lentil,-0.012072332203388214
6918,white_wine,5318,red_pepper_flake,-0.006854582577943802
6918,white_wine,5326,red_potato,0.018969986587762833
6918,white_wine,5367,reduced_fat_feta_cheese,0.02044280245900154
6918,white_wine,5439,rice_flour,0.02269895002245903
6918,white_wine,5440,rice_krispies,0.008303601294755936
6918,white_wine,5441,rice_milk,0.005615719128400087
6918,white_wine,5451,rice_wine_vinegar,0.007667828816920519
6918,white_wine,5520,rome_apple,-0.007306061685085297
6918,white_wine,5522,root_beer,0.012488302774727345
6918,white_wine,5537,rosemary_sprig,0.020862219855189323
6918,white_wine,5554,rubbed_sage,0.022155355662107468
6918,white_wine,5567,rutabaga,0.02893979102373123
6918,white_wine,5608,salt,-0.011761482805013657
6918,white_wine,5609,salt_&_fresh_ground_pepper,0.029430218040943146
6918,white_wine,5634,saltine_cracker,0.012278257869184017
6918,white_wine,5637,sambal_chili_paste,0.007125954143702984
6918,white_wine,5640,sambhar_powder,0.011736791580915451
6918,white_wine,5653,sausage,0.025892671197652817
6918,white_wine,5662,savoy_cabbage,0.022173695266246796
6918,white_wine,5690,season_salt,0.005024179816246033
6918,white_wine,5696,seasoned_rice_vinegar,0.018806947395205498
6918,white_wine,5701,seed,0.027260642498731613
6918,white_wine,5725,semi_sweet_chocolate_chip,0.005685990676283836
6918,white_wine,5737,serrano_chili,0.02764514461159706
6918,white_wine,5741,serrano_pepper,0.01844722032546997
6918,white_wine,5751,sesame_seed_oil,-0.0029651978984475136
6918,white_wine,5763,sharp_cheddar_cheese,0.017428133636713028
6918,white_wine,5765,shea_butter,0.012268103659152985
6918,white_wine,5783,shiro_miso,0.0003313422203063965
6918,white_wine,5800,shortening,0.0012762714177370071
6918,white_wine,5803,shredded_cheddar_cheese,0.0019362920429557562
6918,white_wine,5816,silken_tofu,-0.03186459839344025
6918,white_wine,5833,skim_milk,-0.01939728856086731
6918,white_wine,5851,sliced_mushroom,0.01730845496058464
6918,white_wine,5854,sliced_water_chestnut,0.008462788537144661
6918,white_wine,5879,smelt,-0.01800617016851902
6918,white_wine,5897,smoked_mozzarella_cheese,-0.0008048918098211288
6918,white_wine,5928,soba_noodle,0.029237309470772743
6918,white_wine,5940,soft_fresh_goat_cheese,0.009262852370738983
6918,white_wine,5948,solid_pack_pumpkin,0.029658358544111252
6918,white_wine,5957,sorghum_flour,0.015221057459712029
6918,white_wine,5960,soup,0.028710704296827316
6918,white_wine,5968,sour_cream,-0.005991133861243725
6918,white_wine,5980,sourdough_starter,-0.006448686588555574
6918,white_wine,5991,soy_flour,-0.027016060426831245
6918,white_wine,6001,soya_milk,0.025453703477978706
6918,white_wine,6008,soymilk_powder,-0.023158002644777298
6918,white_wine,6035,spelt,0.012864288873970509
6918,white_wine,6036,spelt_flour,0.020711395889520645
6918,white_wine,6066,splenda_sugar_substitute,0.00943763554096222
6918,white_wine,6068,split_red_lentil,-0.010830270126461983
6918,white_wine,6115,stick,0.028702901676297188
6918,white_wine,6169,sucanat,-0.015229349955916405
6918,white_wine,6172,sugar,-0.033042192459106445
6918,white_wine,6184,sugar_free_instant_vanilla_pudding_mix,0.0063186464831233025
6918,white_wine,6202,sugar_pumpkin,0.010653164237737656
6918,white_wine,6204,sugar_substitute,-0.03696189820766449
6918,white_wine,6212,summer_savory,0.0258248932659626
6918,white_wine,6232,sweet_and_sour_sauce,-0.03801802918314934
6918,white_wine,6260,sweet_paprika,0.02700541540980339
6918,white_wine,6262,sweet_pepper,0.025429531931877136
6918,white_wine,6265,sweet_pickle_relish,0.02592911198735237
6918,white_wine,6291,sweetened_condensed_milk,0.025896862149238586
6918,white_wine,6292,sweetened_flaked_coconut,0.028611652553081512
6918,white_wine,6295,sweetened_whipped_cream,0.012032011523842812
6918,white_wine,6310,tabasco_sauce,-0.028420304879546165
6918,white_wine,6322,tahini,0.011095533147454262
6918,white_wine,6324,tahini_sauce,-0.021966958418488503
6918,white_wine,6326,tamale,0.004390429705381393
6918,white_wine,6327,tamari,0.024117793887853622
6918,white_wine,6328,tamari_soy_sauce,0.018754199147224426
6918,white_wine,6331,tamarind_paste,0.02921808883547783
6918,white_wine,6344,tapioca_flour,0.027250995859503746
6918,white_wine,6346,tapioca_starch,0.014545198529958725
6918,white_wine,6368,tea_bag,0.02688819169998169
6918,white_wine,6372,teff_flour,0.005849428474903107
6918,white_wine,6422,toasted_almond,-0.013261539861559868
6918,white_wine,6466,toor_dal,0.02389640174806118
6918,white_wine,6468,top_ramen_noodle,0.008743150159716606
6918,white_wine,6477,tostada,0.02584284171462059
6918,white_wine,6545,turmeric,0.004158593714237213
6918,white_wine,6576,unsalted_chicken_stock,-0.007101867347955704
6918,white_wine,6586,unsalted_shelled_pistachio,0.003880453994497657
6918,white_wine,6598,unsweetened_applesauce,0.020055308938026428
6918,white_wine,6605,unsweetened_coconut,-0.019809585064649582
6918,white_wine,6611,unsweetened_dried_shredded_coconut,0.01910468190908432
6918,white_wine,6649,vanilla_frosting,-0.02752690389752388
6918,white_wine,6691,vegan_butter,0.018854450434446335
6918,white_wine,6695,vegan_egg_replacer_powder,0.0053292447701096535
6918,white_wine,6700,vegan_sugar,-0.06214747205376625
6918,white_wine,6709,vegetable_juice,0.005187145434319973
6918,white_wine,6766,waffle,0.01839263364672661
6918,white_wine,6784,wasabi_pea,-0.008730262517929077
6918,white_wine,6785,wasabi_powder,-0.011463073082268238
6918,white_wine,6787,water,0.0036886027082800865
6918,white_wine,6791,watercress,0.00506780669093132
6918,white_wine,6800,wax_paper,-0.0059354715049266815
6918,white_wine,6812,wheat_flour,0.015818262472748756
6918,white_wine,6821,whey,-0.004444293677806854
6918,white_wine,6856,white_chocolate_chunk,0.02373063564300537
6918,white_wine,6878,white_frosting,-0.025634074583649635
6918,white_wine,6890,white_onion,0.004291221499443054
6918,white_wine,6909,white_sugar,0.026185546070337296
6918,white_wine,6916,white_vinegar,0.022119462490081787
6918,white_wine,6917,white_whole_wheat_flour,0.016969358548521996
6918,white_wine,6926,whole_black_peppercorn,0.02297436259686947
6918,white_wine,6934,whole_chicken_breast,-0.004301924258470535
6918,white_wine,6936,whole_coriander_seed,0.024127688258886337
6918,white_wine,6961,whole_mustard_seed,-0.024798955768346786
6918,white_wine,6996,whole_wheat_pastry_flour,0.020156122744083405
6918,white_wine,7029,wonton_wrapper,-0.016252821311354637
6918,white_wine,7042,yakisoba_noodle,0.01766916736960411
6918,white_wine,7044,yamaimo,0.009072421118617058
6918,white_wine,7045,yeast,0.015006545931100845
6918,white_wine,7052,yellow_cake_mix,0.01824704371392727
6918,white_wine,7062,yellow_food_coloring,-0.015170296654105186
6918,white_wine,7064,yellow_lentil,0.025555508211255074
6918,white_wine,7067,yellow_mustard,-0.009089755825698376
6918,white_wine,7069,yellow_onion,0.028261609375476837
6918,white_wine,7075,yellow_rock_sugar,0.028875354677438736
6918,white_wine,7083,yellow_zucchini,0.028522778302431107
6918,white_wine,7092,your_favorite_dressing,0.017001990228891373
6921,white_zinfandel_wine,71,albacore_tuna,-0.018187236040830612
6921,white_zinfandel_wine,81,all_bran_cereal,-0.022536123171448708
6921,white_zinfandel_wine,267,bacon,0.028624102473258972
